Sample,Isotope,Evaluation,mg / gIU
AG536-C2D1,233U,ENDF VII.0,7.975E-06
AG536-C2D1,234U,ENDF VII.0,2.357E-01
AG536-C2D1,235U,ENDF VII.0,6.498E+00
AG536-C2D1,236U,ENDF VII.0,5.624E+00
AG536-C2D1,238U,ENDF VII.0,9.198E+02
AG536-C2D1,238Pu,ENDF VII.0,3.773E-01
AG536-C2D1,239Pu,ENDF VII.0,6.177E+00
AG536-C2D1,240Pu,ENDF VII.0,3.228E+00
AG536-C2D1,241Pu,ENDF VII.0,7.771E-01
AG536-C2D1,242Pu,ENDF VII.0,1.018E+00
AG536-C2D1,237Np,ENDF VII.0,7.394E-01
AG536-C2D1,241Am,ENDF VII.0,1.122E+00
AG536-C2D1,243Am,ENDF VII.0,2.492E-01
AG536-C2D1,244Cm,ENDF VII.0,6.957E-02
AG536-C2D1,133Cs,ENDF VII.0,1.675E+00
AG536-C2D1,134Cs,ENDF VII.0,5.776E-04
AG536-C2D1,135Cs,ENDF VII.0,5.974E-01
AG536-C2D1,137Cs,ENDF VII.0,1.259E+00
AG536-C2D1,140Ce,ENDF VII.0,1.937E+00
AG536-C2D1,142Ce,ENDF VII.0,1.752E+00
AG536-C2D1,142Nd,ENDF VII.0,4.335E-02
AG536-C2D1,143Nd,ENDF VII.0,1.116E+00
AG536-C2D1,144Nd,ENDF VII.0,2.147E+00
AG536-C2D1,145Nd,ENDF VII.0,9.936E-01
AG536-C2D1,146Nd,ENDF VII.0,1.137E+00
AG536-C2D1,148Nd,ENDF VII.0,5.857E-01
AG536-C2D1,150Nd,ENDF VII.0,2.879E-01
AG536-C2D1,147Sm,ENDF VII.0,3.311E-01
AG536-C2D1,148Sm,ENDF VII.0,2.598E-01
AG536-C2D1,149Sm,ENDF VII.0,3.392E-03
AG536-C2D1,150Sm,ENDF VII.0,4.655E-01
AG536-C2D1,151Sm,ENDF VII.0,1.331E-02
AG536-C2D1,152Sm,ENDF VII.0,1.402E-01
AG536-C2D1,154Sm,ENDF VII.0,6.379E-02
AG536-C2D1,151Eu,ENDF VII.0,1.980E-03
AG536-C2D1,152Eu,ENDF VII.0,6.229E-06
AG536-C2D1,153Eu,ENDF VII.0,1.796E-01
AG536-C2D1,154Eu,ENDF VII.0,1.017E-02
AG536-C2D1,155Eu,ENDF VII.0,1.078E-03
AG536-C2D1,152Gd,ENDF VII.0,4.357E-05
AG536-C2D1,154Gd,ENDF VII.0,3.821E-02
AG536-C2D1,155Gd,ENDF VII.0,1.359E-02
AG536-C2D1,156Gd,ENDF VII.0,2.003E-01
AG536-C2D1,157Gd,ENDF VII.0,1.669E-04
AG536-C2D1,158Gd,ENDF VII.0,3.669E-02
AG536-C2D1,160Gd,ENDF VII.0,1.970E-03
AG536-C2D1,109Ag,ENDF VII.0,1.209E-01
AG536-C2D1,95Mo,ENDF VII.0,1.131E+00
AG536-C2D1,103Rh,ENDF VII.0,7.039E-01
AG536-C2D1,99Tc,ENDF VII.0,1.217E+00
AG536-C2D1,233U,ENDF VII.1,7.975E-06
AG536-C2D1,234U,ENDF VII.1,2.357E-01
AG536-C2D1,235U,ENDF VII.1,6.496E+00
AG536-C2D1,236U,ENDF VII.1,5.624E+00
AG536-C2D1,238U,ENDF VII.1,9.198E+02
AG536-C2D1,238Pu,ENDF VII.1,3.773E-01
AG536-C2D1,239Pu,ENDF VII.1,6.175E+00
AG536-C2D1,240Pu,ENDF VII.1,3.228E+00
AG536-C2D1,241Pu,ENDF VII.1,7.771E-01
AG536-C2D1,242Pu,ENDF VII.1,1.018E+00
AG536-C2D1,237Np,ENDF VII.1,7.394E-01
AG536-C2D1,241Am,ENDF VII.1,1.122E+00
AG536-C2D1,243Am,ENDF VII.1,2.492E-01
AG536-C2D1,244Cm,ENDF VII.1,6.957E-02
AG536-C2D1,133Cs,ENDF VII.1,1.675E+00
AG536-C2D1,134Cs,ENDF VII.1,5.776E-04
AG536-C2D1,135Cs,ENDF VII.1,5.974E-01
AG536-C2D1,137Cs,ENDF VII.1,1.259E+00
AG536-C2D1,140Ce,ENDF VII.1,1.937E+00
AG536-C2D1,142Ce,ENDF VII.1,1.752E+00
AG536-C2D1,142Nd,ENDF VII.1,4.335E-02
AG536-C2D1,143Nd,ENDF VII.1,1.116E+00
AG536-C2D1,144Nd,ENDF VII.1,2.147E+00
AG536-C2D1,145Nd,ENDF VII.1,9.936E-01
AG536-C2D1,146Nd,ENDF VII.1,1.137E+00
AG536-C2D1,148Nd,ENDF VII.1,5.857E-01
AG536-C2D1,150Nd,ENDF VII.1,2.879E-01
AG536-C2D1,147Sm,ENDF VII.1,3.311E-01
AG536-C2D1,148Sm,ENDF VII.1,2.598E-01
AG536-C2D1,149Sm,ENDF VII.1,3.390E-03
AG536-C2D1,150Sm,ENDF VII.1,4.655E-01
AG536-C2D1,151Sm,ENDF VII.1,1.331E-02
AG536-C2D1,152Sm,ENDF VII.1,1.403E-01
AG536-C2D1,154Sm,ENDF VII.1,6.379E-02
AG536-C2D1,151Eu,ENDF VII.1,1.980E-03
AG536-C2D1,152Eu,ENDF VII.1,6.225E-06
AG536-C2D1,153Eu,ENDF VII.1,1.796E-01
AG536-C2D1,154Eu,ENDF VII.1,1.079E-02
AG536-C2D1,155Eu,ENDF VII.1,1.067E-03
AG536-C2D1,152Gd,ENDF VII.1,4.357E-05
AG536-C2D1,154Gd,ENDF VII.1,4.045E-02
AG536-C2D1,155Gd,ENDF VII.1,1.345E-02
AG536-C2D1,156Gd,ENDF VII.1,1.978E-01
AG536-C2D1,157Gd,ENDF VII.1,1.655E-04
AG536-C2D1,158Gd,ENDF VII.1,3.650E-02
AG536-C2D1,160Gd,ENDF VII.1,1.970E-03
AG536-C2D1,109Ag,ENDF VII.1,1.209E-01
AG536-C2D1,95Mo,ENDF VII.1,1.131E+00
AG536-C2D1,103Rh,ENDF VII.1,7.039E-01
AG536-C2D1,99Tc,ENDF VII.1,1.217E+00
AG536-C2D1,233U,ENDF VII.0 + mod-Wright,8.869E-06
AG536-C2D1,234U,ENDF VII.0 + mod-Wright,2.296E-01
AG536-C2D1,235U,ENDF VII.0 + mod-Wright,6.558E+00
AG536-C2D1,236U,ENDF VII.0 + mod-Wright,5.628E+00
AG536-C2D1,238U,ENDF VII.0 + mod-Wright,9.195E+02
AG536-C2D1,238Pu,ENDF VII.0 + mod-Wright,3.370E-01
AG536-C2D1,239Pu,ENDF VII.0 + mod-Wright,6.317E+00
AG536-C2D1,240Pu,ENDF VII.0 + mod-Wright,3.288E+00
AG536-C2D1,241Pu,ENDF VII.0 + mod-Wright,7.850E-01
AG536-C2D1,242Pu,ENDF VII.0 + mod-Wright,9.799E-01
AG536-C2D1,237Np,ENDF VII.0 + mod-Wright,7.482E-01
AG536-C2D1,241Am,ENDF VII.0 + mod-Wright,1.141E+00
AG536-C2D1,243Am,ENDF VII.0 + mod-Wright,2.779E-01
AG536-C2D1,244Cm,ENDF VII.0 + mod-Wright,6.820E-02
AG536-C2D1,133Cs,ENDF VII.0 + mod-Wright,1.665E+00
AG536-C2D1,134Cs,ENDF VII.0 + mod-Wright,5.911E-04
AG536-C2D1,135Cs,ENDF VII.0 + mod-Wright,5.994E-01
AG536-C2D1,137Cs,ENDF VII.0 + mod-Wright,1.259E+00
AG536-C2D1,140Ce,ENDF VII.0 + mod-Wright,1.936E+00
AG536-C2D1,142Ce,ENDF VII.0 + mod-Wright,1.754E+00
AG536-C2D1,142Nd,ENDF VII.0 + mod-Wright,4.297E-02
AG536-C2D1,143Nd,ENDF VII.0 + mod-Wright,1.119E+00
AG536-C2D1,144Nd,ENDF VII.0 + mod-Wright,2.140E+00
AG536-C2D1,145Nd,ENDF VII.0 + mod-Wright,9.765E-01
AG536-C2D1,146Nd,ENDF VII.0 + mod-Wright,1.153E+00
AG536-C2D1,148Nd,ENDF VII.0 + mod-Wright,5.855E-01
AG536-C2D1,150Nd,ENDF VII.0 + mod-Wright,2.879E-01
AG536-C2D1,147Sm,ENDF VII.0 + mod-Wright,3.332E-01
AG536-C2D1,148Sm,ENDF VII.0 + mod-Wright,2.587E-01
AG536-C2D1,149Sm,ENDF VII.0 + mod-Wright,3.417E-03
AG536-C2D1,150Sm,ENDF VII.0 + mod-Wright,4.642E-01
AG536-C2D1,151Sm,ENDF VII.0 + mod-Wright,1.339E-02
AG536-C2D1,152Sm,ENDF VII.0 + mod-Wright,1.405E-01
AG536-C2D1,154Sm,ENDF VII.0 + mod-Wright,6.375E-02
AG536-C2D1,151Eu,ENDF VII.0 + mod-Wright,1.993E-03
AG536-C2D1,152Eu,ENDF VII.0 + mod-Wright,6.365E-06
AG536-C2D1,153Eu,ENDF VII.0 + mod-Wright,1.857E-01
AG536-C2D1,154Eu,ENDF VII.0 + mod-Wright,9.256E-03
AG536-C2D1,155Eu,ENDF VII.0 + mod-Wright,1.075E-03
AG536-C2D1,152Gd,ENDF VII.0 + mod-Wright,4.401E-05
AG536-C2D1,154Gd,ENDF VII.0 + mod-Wright,3.480E-02
AG536-C2D1,155Gd,ENDF VII.0 + mod-Wright,1.355E-02
AG536-C2D1,156Gd,ENDF VII.0 + mod-Wright,1.983E-01
AG536-C2D1,157Gd,ENDF VII.0 + mod-Wright,1.672E-04
AG536-C2D1,158Gd,ENDF VII.0 + mod-Wright,3.654E-02
AG536-C2D1,160Gd,ENDF VII.0 + mod-Wright,1.972E-03
AG536-C2D1,109Ag,ENDF VII.0 + mod-Wright,1.211E-01
AG536-C2D1,95Mo,ENDF VII.0 + mod-Wright,1.125E+00
AG536-C2D1,103Rh,ENDF VII.0 + mod-Wright,6.914E-01
AG536-C2D1,99Tc,ENDF VII.0 + mod-Wright,1.199E+00
AG536-C2D1,233U,ENDF VII.0 + mod-Mughabghab v1,8.867E-06
AG536-C2D1,234U,ENDF VII.0 + mod-Mughabghab v1,2.296E-01
AG536-C2D1,235U,ENDF VII.0 + mod-Mughabghab v1,6.556E+00
AG536-C2D1,236U,ENDF VII.0 + mod-Mughabghab v1,5.628E+00
AG536-C2D1,238U,ENDF VII.0 + mod-Mughabghab v1,9.195E+02
AG536-C2D1,238Pu,ENDF VII.0 + mod-Mughabghab v1,3.370E-01
AG536-C2D1,239Pu,ENDF VII.0 + mod-Mughabghab v1,6.315E+00
AG536-C2D1,240Pu,ENDF VII.0 + mod-Mughabghab v1,3.288E+00
AG536-C2D1,241Pu,ENDF VII.0 + mod-Mughabghab v1,7.848E-01
AG536-C2D1,242Pu,ENDF VII.0 + mod-Mughabghab v1,9.799E-01
AG536-C2D1,237Np,ENDF VII.0 + mod-Mughabghab v1,7.479E-01
AG536-C2D1,241Am,ENDF VII.0 + mod-Mughabghab v1,1.141E+00
AG536-C2D1,243Am,ENDF VII.0 + mod-Mughabghab v1,2.779E-01
AG536-C2D1,244Cm,ENDF VII.0 + mod-Mughabghab v1,6.820E-02
AG536-C2D1,133Cs,ENDF VII.0 + mod-Mughabghab v1,1.665E+00
AG536-C2D1,134Cs,ENDF VII.0 + mod-Mughabghab v1,5.909E-04
AG536-C2D1,135Cs,ENDF VII.0 + mod-Mughabghab v1,5.994E-01
AG536-C2D1,137Cs,ENDF VII.0 + mod-Mughabghab v1,1.259E+00
AG536-C2D1,140Ce,ENDF VII.0 + mod-Mughabghab v1,1.936E+00
AG536-C2D1,142Ce,ENDF VII.0 + mod-Mughabghab v1,1.754E+00
AG536-C2D1,142Nd,ENDF VII.0 + mod-Mughabghab v1,4.297E-02
AG536-C2D1,143Nd,ENDF VII.0 + mod-Mughabghab v1,1.119E+00
AG536-C2D1,144Nd,ENDF VII.0 + mod-Mughabghab v1,2.142E+00
AG536-C2D1,145Nd,ENDF VII.0 + mod-Mughabghab v1,9.765E-01
AG536-C2D1,146Nd,ENDF VII.0 + mod-Mughabghab v1,1.153E+00
AG536-C2D1,148Nd,ENDF VII.0 + mod-Mughabghab v1,5.855E-01
AG536-C2D1,150Nd,ENDF VII.0 + mod-Mughabghab v1,2.879E-01
AG536-C2D1,147Sm,ENDF VII.0 + mod-Mughabghab v1,3.332E-01
AG536-C2D1,148Sm,ENDF VII.0 + mod-Mughabghab v1,2.587E-01
AG536-C2D1,149Sm,ENDF VII.0 + mod-Mughabghab v1,3.415E-03
AG536-C2D1,150Sm,ENDF VII.0 + mod-Mughabghab v1,4.642E-01
AG536-C2D1,151Sm,ENDF VII.0 + mod-Mughabghab v1,1.339E-02
AG536-C2D1,152Sm,ENDF VII.0 + mod-Mughabghab v1,1.405E-01
AG536-C2D1,154Sm,ENDF VII.0 + mod-Mughabghab v1,6.375E-02
AG536-C2D1,151Eu,ENDF VII.0 + mod-Mughabghab v1,1.992E-03
AG536-C2D1,152Eu,ENDF VII.0 + mod-Mughabghab v1,6.360E-06
AG536-C2D1,153Eu,ENDF VII.0 + mod-Mughabghab v1,1.857E-01
AG536-C2D1,154Eu,ENDF VII.0 + mod-Mughabghab v1,1.001E-02
AG536-C2D1,155Eu,ENDF VII.0 + mod-Mughabghab v1,1.061E-03
AG536-C2D1,152Gd,ENDF VII.0 + mod-Mughabghab v1,4.399E-05
AG536-C2D1,154Gd,ENDF VII.0 + mod-Mughabghab v1,3.758E-02
AG536-C2D1,155Gd,ENDF VII.0 + mod-Mughabghab v1,1.338E-02
AG536-C2D1,156Gd,ENDF VII.0 + mod-Mughabghab v1,1.951E-01
AG536-C2D1,157Gd,ENDF VII.0 + mod-Mughabghab v1,1.656E-04
AG536-C2D1,158Gd,ENDF VII.0 + mod-Mughabghab v1,3.632E-02
AG536-C2D1,160Gd,ENDF VII.0 + mod-Mughabghab v1,1.972E-03
